Time in ms,X in mm,Y in mm,Z in mm
19345.27779,248.23,320.13,482.43
19378.20649,248.2,317.12,483.01
19399.18137,247.8,316.31,482.44
19426.38683,247.83,315.91,481.86
19448.96483,247.48,315.56,480.13
19476.65191,247.9,316.4,480.14
19497.75171,247.86,316.39,480.73
19521.22974,247.91,315.99,480.14
19550.46153,247.52,315.61,479.55
19579.27275,247.51,315.6,479.28
19619.23504,247.8,314.62,482.16
19643.22352,247.49,313.88,479.86
19665.73715,247.47,313.87,480.42
19689.45122,247.45,313.43,480.44
19715.15656,247.46,313.86,480.43
19738.68895,247.48,315.15,479.86
19767.30967,247.88,315.13,480.43
19793.11299,248.13,314.93,484.48
19817.18254,247.5,315.59,479.56
19842.417,247.82,316.35,481.58
19866.14108,248.24,316.75,482.15
19978.55067,248.27,320.14,481.57
20005.41258,248.21,321.83,482.16
20032.61709,248.23,322.67,482.15
20061.57756,247.98,323.63,478.99
20089.8633,247.94,323.62,479.27
20115.13066,247.94,324.44,479.01
20139.00089,248.01,324.9,477.86
