Time in ms,X in mm,Y in mm,Z in mm
14838.10019,249.48,317.2,480.19
14861.73415,249.52,317.65,479.32
14887.96949,249.5,317.66,479.61
14911.45182,249.52,317.21,479.61
14939.9724,249.51,317.65,479.62
14964.13016,249.51,317.23,479.32
14989.75015,249.51,317.22,479.88
15014.14537,249.48,317.21,480.18
15041.09359,249.53,317.67,479.6
15065.21654,249.88,317.61,480.75
15089.31255,249.55,317.67,479.03
15112.02455,249.54,317.26,479.02
15132.81202,249.14,317.69,478.18
15158.64658,249.85,317.17,481.06
15180.92108,249.5,317.64,479.89
15206.46358,249.51,317.22,479.89
15229.37989,249.51,317.22,479.6
15256.39868,249.52,317.22,479.61
15281.72874,249.54,317.25,479.31
15308.04515,249.49,317.21,479.89
15331.79903,249.15,317.28,478.44
15359.3502,249.89,317.63,480.47
15382.27105,249.84,317.58,481.63
15406.38351,249.89,317.19,480.76
15429.80886,249.52,317.24,479.61
15455.44839,249.53,317.66,479.31
15482.11265,249.5,317.64,479.9
15507.78913,249.49,317.21,479.9
15528.55182,249.45,317.62,480.48
15553.30849,249.52,317.23,479.89
15577.59953,249.5,317.21,479.89
15604.65026,249.51,317.24,479.6
15628.38173,249.47,317.21,480.48
15648.77367,249.51,317.66,479.6
15676.66793,249.5,317.21,480.19
15704.18811,249.83,317.13,482.22
15728.58262,249.48,317.22,479.61
15755.8105,249.84,317.16,481.91
15778.35345,249.5,317.64,479.88
15806.04863,249.5,317.63,480.18
15828.23086,249.09,317.24,479.61
15857.99909,249.83,317.15,481.63
15881.45494,249.5,317.24,479.6
15907.78494,249.52,317.22,479.88
15933.42686,249.57,317.27,478.74
15959.67674,249.49,317.22,479.9
15983.58154,249.11,317.67,479.04
16011.40118,249.14,317.26,478.47
16036.20291,249.5,317.23,479.61
16061.23161,249.47,317.63,480.47
16090.26265,249.93,317.2,480.47
16114.61043,249.54,317.23,479.34
16141.1562,249.48,317.21,480.17
16164.44445,249.87,317.17,481.06
16189.39662,249.53,317.66,479.6
16213.56106,249.15,317.28,478.74
16241.82367,249.14,317.69,478.46
16264.66465,249.5,317.22,479.6
16289.64162,249.15,317.27,478.46
16312.02722,249.52,317.23,479.6
16338.34076,249.51,317.23,479.61
16360.80956,249.84,317.16,481.36
16386.39712,249.87,317.18,481.33
16411.77773,249.49,317.22,479.9
16439.89968,249.48,317.2,480.19
16464.66088,249.48,317.21,480.47
16491.56284,249.89,317.18,480.76
16513.39293,249.12,317.24,479.03
16542.24658,249.15,317.27,478.45
16564.58211,249.15,317.27,478.46
16588.6426,249.55,317.26,479.03
16611.85479,249.52,317.24,479.6
16638.36098,249.48,317.22,480.18
16661.93795,249.17,317.71,477.88
16688.22908,249.48,317.2,480.18
16711.86948,249.51,317.21,480.18
16732.91039,249.48,317.63,480.19
16758.7111,249.83,317.15,481.92
16781.46505,249.52,317.22,479.89
16810.32395,249.49,317.2,480.48
16836.75647,249.5,317.23,479.89
16863.46292,249.5,317.23,479.6
16890.41066,249.16,317.71,478.18
16911.88645,249.13,317.27,478.75
16941.02192,249.47,317.19,480.48
16965.24286,249.83,317.15,481.65
16991.63675,249.51,317.65,479.89
17014.24503,249.53,317.66,479.31
17041.41116,249.51,317.23,479.89
17064.81957,249.5,317.64,479.89
17091.3403,249.15,317.27,478.45
17114.24398,249.84,317.16,481.92
17141.19601,249.51,317.24,479.6
17163.83886,249.49,317.21,479.9
