Time in ms,X in mm,Y in mm,Z in mm
13540.133,254.27,314.36,479.01
13565.48095,253.36,314.72,480.14
13593.97054,252.46,314.18,482.44
13619.59052,251.97,314.1,483.9
13645.77246,250.35,314.21,481.86
13670.04299,249.17,314.74,479.86
13695.09387,247.94,315.18,479.01
13718.73927,248.14,315.38,483.9
13751.14441,246.66,315.16,479.84
13774.92833,245.81,315.16,479.85
13805.13,246.06,315.43,483.03
13828.37558,246.04,315.41,483.61
13855.82042,246.0,314.93,484.48
13879.90308,245.91,315.27,486.24
13908.05149,245.99,314.95,484.19
13933.37655,245.74,315.52,481.01
13959.82957,246.05,315.41,483.6
13982.95808,246.11,315.47,481.87
14009.41014,246.43,314.94,484.19
14034.16324,244.77,314.97,483.33
14057.85251,247.47,315.14,480.43
14083.0996,249.18,314.74,479.85
14107.48959,251.56,314.55,483.61
14135.84709,252.89,314.64,481.87
14165.48777,254.29,314.84,477.58
14194.6094,255.91,314.73,479.86
14224.95961,257.15,314.73,480.13
14255.73778,257.96,314.16,483.02
14279.15931,258.38,313.72,483.04
14302.74844,258.78,313.25,483.62
14325.66166,258.78,313.29,483.32
14356.38332,258.41,314.24,481.28
14384.26924,258.8,314.55,483.6
14421.92602,258.81,313.74,482.72
14450.0432,258.77,313.23,484.18
14479.78044,258.79,313.74,482.73
14507.52401,258.79,314.56,483.31
14534.13987,258.76,314.08,484.48
14566.1099,258.8,313.31,482.45
14594.22851,258.78,313.27,483.6
14621.66619,258.37,313.71,483.31
14651.18861,257.49,314.1,484.18
14678.66898,255.51,314.81,478.43
14705.99747,255.07,314.32,479.56
14735.28981,254.26,313.96,478.71
14760.47063,253.77,314.26,480.72
14786.61585,252.88,314.2,481.87
14813.86375,251.96,314.09,484.19
14842.10229,250.75,314.59,482.72
14867.69199,248.79,315.2,479.0
14900.13289,247.45,315.12,480.42
14927.89674,244.38,315.01,483.01
14959.09858,245.0,315.6,479.57
14990.2072,246.08,315.0,482.72
15017.56549,245.57,314.92,484.77
15046.8154,245.28,315.07,481.86
15076.22671,245.6,314.95,483.89
15102.22983,244.9,315.08,481.01
15129.93622,245.64,314.98,483.31
15154.52099,245.63,315.42,483.04
15187.93559,245.96,315.34,485.07
15212.73899,246.16,315.08,481.29
15237.91146,245.34,315.54,480.7
15267.42768,247.84,314.65,481.02
15294.93785,250.0,314.7,480.42
15319.65351,251.98,314.55,483.31
15349.96319,253.73,314.61,482.44
15374.3794,254.62,314.29,480.15
15404.25229,255.59,314.92,476.17
15430.7704,257.51,314.54,483.89
15457.32307,257.93,314.12,483.6
15482.67794,258.37,313.71,483.31
15511.69705,258.78,313.24,484.19
15537.26101,258.8,313.71,483.31
15578.26495,258.79,314.59,482.73
15603.75214,258.82,314.25,481.28
15626.48559,258.8,313.35,482.16
15665.72332,259.22,313.3,483.02
15689.86487,258.82,314.26,481.0
15718.69254,258.8,314.14,483.32
15742.96498,258.8,314.23,481.3
15771.05665,258.8,313.29,483.32
15796.8812,258.39,313.33,482.74
15823.68875,255.94,313.94,479.0
15849.31731,254.55,314.19,482.43
15880.11456,252.86,314.61,482.73
15909.48868,251.97,314.52,484.19
15934.11279,250.35,314.2,482.15
15956.95019,248.79,314.35,479.28
15981.19569,247.55,314.8,478.71
16009.37963,247.48,315.13,480.14
16032.97949,246.69,315.62,479.27
16059.60584,245.32,315.1,481.0
16085.39939,246.24,315.6,479.56
16118.81137,245.37,315.55,479.86
16144.65189,246.45,315.4,483.6
16178.78938,246.38,315.33,485.07
16202.08144,246.43,315.35,484.48
16226.7952,246.47,315.01,483.03
16250.91219,246.1,315.47,482.16
16275.03872,246.12,315.48,481.86
16303.46298,246.45,315.38,483.62
16326.5245,246.21,315.14,480.15
16353.65057,246.36,315.27,477.58
16379.22025,248.2,315.01,483.02
16402.32182,248.75,314.71,480.13
16426.97501,249.59,314.72,480.14
16457.86738,252.01,314.6,482.46
16483.79469,252.96,314.74,479.85
16508.17728,254.23,314.74,479.85
16533.28824,255.87,314.24,481.28
16559.01027,260.97,313.91,479.56
16583.36782,258.34,313.68,483.9
16606.83918,258.82,313.77,482.16
16629.93193,259.26,314.27,480.99
16656.39877,259.3,313.95,478.98
16682.98364,259.72,313.52,478.99
16711.85279,260.06,313.25,483.9
16735.34822,259.67,313.38,481.57
16765.95926,259.27,313.88,480.13
16789.82449,259.23,313.81,481.3
16816.57314,258.86,314.33,479.58
16843.58859,258.78,313.72,483.03
16867.41281,257.94,313.73,483.01
16895.18952,256.72,314.28,480.7
16926.94569,255.15,314.47,477.01
16951.93148,254.25,314.38,478.72
16978.18923,254.09,314.09,484.19
17009.01556,252.78,314.03,485.08
17035.21681,251.97,314.09,484.19
17059.98254,251.19,314.2,482.15
17085.73318,249.18,314.74,479.84
17110.7645,247.89,315.13,480.15
17137.01701,247.15,315.23,478.16
17162.51564,246.68,315.19,479.0
17187.40106,245.41,315.2,479.28
17212.97836,246.49,315.44,483.02
17240.55076,246.09,315.46,482.44
17267.59052,246.07,315.45,482.46
17291.152,245.72,315.08,481.57
17318.08066,245.68,315.45,482.43
17342.13543,246.06,315.43,483.03
17366.78624,246.1,315.45,482.45
17392.03668,245.77,315.12,480.71
17415.80153,246.46,314.99,483.31
17443.91131,246.35,315.25,478.15
17469.99836,247.5,315.17,479.56
17496.7761,249.48,314.61,482.44
17523.16523,250.77,314.62,482.16
